pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name
1.00,1.00,hawaiian_m,1.00,1/1/2015,11:38:36,13.25,13.25,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
2.00,2.00,classic_dlx_m,1.00,1/1/2015,11:57:40,16.00,16.00,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
3.00,2.00,five_cheese_l,1.00,1/1/2015,11:57:40,18.50,18.50,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza
4.00,3.00,pepperoni_m,2.00,1/2/2015,12:15:20,12.00,24.00,M,Classic,"Pepperoni, Mozzarella Cheese",The Pepperoni Pizza
5.00,4.00,bbq_chicken_l,1.00,1/2/2015,12:45:10,15.00,15.00,L,Specialty,"BBQ Sauce, Chicken, Red Onions, Cilantro",The BBQ Chicken Pizza
6.00,5.00,margherita_m,3.00,1/3/2015,13:05:30,10.00,30.00,M,Classic,"Tomato, Mozzarella Cheese, Basil",The Margherita Pizza
7.00,6.00,hawaiian_l,2.00,1/3/2015,13:25:45,14.00,28.00,L,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
8.00,7.00,veggie_dlx_m,1.00,1/4/2015,14:00:00,13.00,13.00,M,Veggie,"Bell Peppers, Red Onions, Mushrooms, Black Olives, Mozzarella Cheese",The Veggie Deluxe Pizza
9.00,8.00,meat_lovers_l,1.00,1/4/2015,14:30:15,17.00,17.00,L,Specialty,"Pepperoni, Sausage, Ham, Bacon, Mozzarella Cheese",The Meat Lovers Pizza
10.00,9.00,bbq_chicken_m,2.00,1/5/2015,15:00:25,13.00,26.00,M,Specialty,"BBQ Sauce, Chicken, Red Onions, Cilantro",The BBQ Chicken Pizza
11.00,10.00,pepperoni_l,1.00,1/5/2015,15:30:40,14.00,14.00,L,Classic,"Pepperoni, Mozzarella Cheese",The Pepperoni Pizza
12.00,11.00,margherita_l,3.00,1/6/2015,16:00:50,12.00,36.00,L,Classic,"Tomato, Mozzarella Cheese, Basil",The Margherita Pizza
13.00,12.00,hawaiian_m,2.00,1/6/2015,16:30:05,13.25,26.50,M,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza
14.00,13.00,classic_dlx_l,1.00,1/7/2015,17:00:20,16.00,16.00,L,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza
